,Accidents,UrbanDensification,UrbanParks,OldTown,Bars,HN_noise_40,HN_noise_60,strOri_0,strOri_1,strOri_2,strOri_3,X,Y,clusterID
1914,10,0,4451,87283,18.0,0.515151515,0.393939394,6.488652992,2995.573487,66.12399514,2726.346699,429467.7332,4583976.651,2
1915,11,24296,18516,78021,5.0,0.827586207,0.034482759,356.2299877,3586.319601,464.3192506,3224.452219,431305.6986,4581851.182,4
1916,15,51519,120358,37734,4.0,0.862068966,0.0,489.6642256,1633.251385,658.65342,1917.735576,427434.1681,4582141.627,4
1917,9,0,4451,97695,18.0,0.53125,0.40625,132.5092176,2886.335682,66.12399514,2759.269364,429441.7846,4583956.127,2
1918,21,0,7432,0,1.0,1.0,0.0,1154.693861,415.8763424,1138.169114,75.46400693,427068.78,4582210.783,0
1919,19,105341,0,0,7.0,1.0,0.0,88.69303063,1968.403042,97.87845381,1867.409487,428380.5001,4583525.941,1
1920,18,0,21246,79982,38.0,0.806451613,0.032258065,272.975082,3062.358755,455.4190928,1753.389925,430741.5814,4581396.949,2
1921,27,95376,6306,18253,9.0,0.6875,0.0,827.6216136,882.4540926,775.0812941,970.9914673,429907.2383,4580708.308,0
1922,18,0,17540,125698,46.0,0.517241379,0.0,435.1201682,3448.219837,397.0141987,2437.88341,431025.5429,4581364.869,2
1923,19,75671,0,20981,4.0,0.866666667,0.0,1958.687964,260.5281426,1817.629409,151.1681435,428025.7921,4580673.527,0
1924,10,0,1834,95527,21.0,0.757575758,0.121212121,2.810320437,3181.584344,0.0,2630.966697,429560.139,4584049.529,2
1925,16,0,17324,107208,43.0,0.760869565,0.0,585.4868569,3358.746264,430.4457141,2671.125162,431039.1547,4581438.483,2
1926,17,61268,119091,41884,4.0,0.852941176,0.0,558.6141982,1660.105391,422.3894722,2302.186799,427446.3101,4582048.516,4
1927,10,14359,38560,95316,11.0,0.708333333,0.083333333,280.6794656,3626.108537,431.4937713,3152.984987,431431.5145,4581763.499,2
1928,12,0,2318,100564,24.0,0.473684211,0.315789474,8.230774598,2917.31603,9.758196242,3025.141983,429430.361,4583618.661,2
1929,8,12715,38560,75490,11.0,0.671428571,0.128571429,266.0255095,2903.520392,414.5969977,2965.307131,431494.2359,4581696.351,2
1930,47,41938,43853,31094,22.0,0.714285714,0.071428571,584.0396449,1149.674325,907.7876322,1220.012144,430252.7219,4581820.981,3
1931,13,24381,31713,0,1.0,1.0,0.0,41.72125457,2011.365908,132.6750026,2219.473135,427357.9305,4582934.79,1
1932,10,38283,31721,50447,9.0,1.0,0.0,634.7492852,2602.054403,569.7366706,2484.116586,431056.4757,4581892.083,4
1933,20,87552,6100,16050,9.0,0.733333333,0.0,1146.199082,445.8964166,763.6619715,608.8922344,429839.123,4580634.042,0
1934,6,9354,38560,59370,11.0,0.68852459,0.098360656,153.5662682,2269.455443,385.4789621,2549.135674,431551.0892,4581711.109,4
1935,25,1442,9074,59933,23.0,0.684210526,0.052631579,184.6156757,1517.107562,593.8195471,2250.781478,430508.1722,4580899.578,4
1936,5,0,8262,106247,30.0,0.888888889,0.018518519,383.0927516,3729.064258,338.3305668,3040.427172,431167.3188,4581513.59,2
1937,29,58776,15272,40484,1.0,1.0,0.0,1425.407521,989.647028,1778.370729,927.4806495,428388.3893,4580779.566,0
1938,31,76612,357,7455,1.0,1.0,0.0,246.2692353,1381.455968,490.8583836,1555.809035,430386.6394,4584769.795,1
1939,23,14137,25688,54793,8.0,0.608695652,0.043478261,1862.343434,886.9121718,1434.379588,1128.550959,427876.0634,4580966.347,0
1940,1,0,52528,53235,3.0,0.641509434,0.169811321,587.5832284,3086.923926,333.3610959,2251.955615,431482.1708,4581960.987,4
1941,11,0,13580,85701,32.0,0.919354839,0.0,695.1456992,3225.388401,437.9266063,2980.740321,431065.5657,4581557.222,2
1942,25,45184,15742,0,6.0,0.933333333,0.0,484.4653563,1182.185893,1043.244655,1227.054258,428146.8131,4583366.684,1
1943,9,11840,26201,84116,2.0,1.0,0.0,894.1152347,1729.911415,298.4143936,2106.348301,431356.8424,4582319.552,4
1944,17,44491,1295,21249,4.0,0.894736842,0.0,401.3245326,1811.870306,119.4546368,2130.933166,430067.6605,4584293.492,1
